id,text,twitterUrl,retweetCount,replyCount,likeCount,quoteCount,isReply,date,distilbert_multi_score
1634329302845079555,There is more than $22 Trillion in the U.S. banking system. The FDIC has $124.5 Billion on its balance sheet and a $100 Billion line of credit from the U.S. Treasury. FDIC assets cover only 1.26% of deposits. About the size of Silicon Valley Bank. One bank. Let that sink in. https://t.co/4jeOKzxSo3,https://twitter.com/gaborgurbacs/status/1634329302845079555,1780,307,4956,336,False,2023-03-10,-1.0
1634029130923794435,"Silicon Valley Bank in the US is struggling for liquidity:-

Will Hindenbeg write on how mismanaged the US Banking system is?
Will Hindenberg also write on how robustly RBI manages the Indian Banking system?

Easy to point problems in India
Difficult to clean up own backyard! https://t.co/pCRIZblYdr",https://twitter.com/AdityaD_Shah/status/1634029130923794435,478,367,2323,68,False,2023-03-10,-0.5
1634306547638566916,"Earlier today, America's 16th largest bank, Silicon Valley Bank, collapsed.

$175 BILLION of customer funds are now at risk.  

Here’s what happened (in simple English) and why you should care: https://t.co/rbrFMsnk6E",https://twitter.com/itsDanny_V/status/1634306547638566916,487,57,1657,57,False,2023-03-10,-1.0
1634227592227336195,"🏦📉 SVB Crash Explained📉🏦

Silicon Valley Bank—#16 largest US bank with $212B — just crashed 60% in 1 day & fell 22% post-close. Stock halted now.

@BillAckman is calling a US gov bailout.
@peterthiel is calling a bank run.
JPM, BAC, WFC all dropped 6%.
What's next?

Is this (a) Lehman moment or (b) overblown?
Are depositors screwed or just equity investors?
And what do the terms ""AFS"", ""HTM"", ""NII"", & ""FDIC Insurance"" actually mean? 

👇THREAD ON SVB
🧵/",https://twitter.com/FabiusMercurius/status/1634227592227336195,2744,178,8627,271,False,2023-03-10,-1.0
1634306931870375936,Silicon Valley Bank experienced $42 BILLION in withdrawals at the close of business yesterday (that's basically 1/4 of the bank's $161B in deposits at last regulatory filing)—and had a negative cash balance of nearly $1 BILLION https://t.co/UkopTNw6Ys,https://twitter.com/JosephPolitano/status/1634306931870375936,264,36,1355,102,False,2023-03-10,-1.0
1634210519862091776,"BREAKING: Silicon Valley Bank $SIVB online banking system and mobile services are now unavailable for business clients.

The stock is down over 80% today alone.

THE CRASH IS LOOMING! https://t.co/f0z5IW1ZAu",https://twitter.com/NerumWim/status/1634210519862091776,53,8,110,9,False,2023-03-10,-1.0
1634181229816709125,"Good Morning Everyone! Silicon Valley Bank is getting worse. Customers trying to pull millions of dollars out and can’t. Online banking and mobile services showing unavailable for some customers. 

Stock down 60% pre-market. 

If the bank fails, it would be the second largest bank failure in US history.",https://twitter.com/GRDecter/status/1634181229816709125,1264,276,5072,280,False,2023-03-10,-1.0
1634071448183775232,"BREAKING: Silicon Valley Bank $SIVB online banking system and mobile services are now unavailable for business clients.

The stock is down over 80% today alone.

THE CRASH IS LOOMING! https://t.co/cdBD7p1DPU",https://twitter.com/JackStr42679640/status/1634071448183775232,8,2,17,1,False,2023-03-10,-1.0
1634235518966743049,BREAKING: Silicon Valley Bank is closed by California regulators. It's the first FDIC-insured bank to fail this year https://t.co/eIu9cH52Tg https://t.co/ABv9sAMAe1,https://twitter.com/business/status/1634235518966743049,1127,136,2223,515,False,2023-03-10,-1.0
1634274485489618962,"Silicon Valley Bank was the 16th largest U.S. bank, with $210 billion in assets.

It collapsed in just two days. https://t.co/iGNxyd0wDs",https://twitter.com/fintwit/status/1634274485489618962,120,22,660,18,False,2023-03-10,-1.0
1634307535174877184,"This is what the collapse of a bank within 24 hours looks like. You don’t need to be a financial expert to know that red line is bad news. 

Silicone Valley Bank, US. $209 billion in assets one day, shut down the next. THAT FAST. DON’T GET CAUGHT OUT WITH ANY ASSETS IN ONE PLACE. https://t.co/cF9yWHGGHE",https://twitter.com/noreward_norisk/status/1634307535174877184,101,12,212,8,False,2023-03-10,-1.0
1634197132969144321,"⚠️BREAKING:

*SILICON VALLEY BANK IN TALKS TO SELL ITSELF AFTER ATTEMPTS TO RAISE CAPITAL HAVE FAILED

*SVB FINANCIAL HAS HIRED GOLDMAN SACHS TO SEEK A SALE: CNBC

$SIVB https://t.co/OJFf5Aq6tO",https://twitter.com/Investingcom/status/1634197132969144321,145,28,502,21,False,2023-03-10,-1.0
1634235785695117341,"This financial mess is a massive party, and Silicon Valley Bank is the hangover. 

You can’t have a healthy economy without a healthy banking system.

🎥 @CandyZach7 has all the details on the $SIVB saga https://t.co/8bJnZBpC7d",https://twitter.com/opinion/status/1634235785695117341,14,3,36,5,False,2023-03-10,-1.0
1634308145278328832,"""Silicon Valley Bank Failure Sparks Concerns of Financial Contagion in the US Banking System &amp; Crypto Markets"" 
 
USDC 26.4% of $USDC reserves are held by 𝐒𝐢𝐠𝐧𝐚𝐭𝐮𝐫𝐞 𝐁𝐚𝐧𝐤, 𝐒𝐢𝐥𝐢𝐜𝐨𝐧 𝐕𝐚𝐥𝐥𝐞𝐲 𝐁𝐚𝐧𝐤 and Silvergate Bank.

Mega 🧵👇 https://t.co/9cw0dZv4m1",https://twitter.com/defihumair/status/1634308145278328832,0,1,2,1,False,2023-03-10,-1.0
1634234854253670408,"BREAKING: Silicon Valley Bank (SVB) has been shut down by regulators, FDIC to protect insured deposits https://t.co/Pi6XKzeu9j",https://twitter.com/gc22gc/status/1634234854253670408,136,28,292,11,False,2023-03-10,-1.0
1634300717522472964,"Silicon Valley Bank $SIVB  Banking system &amp; mobile services are now unavailable for business clients.

The stock is down over 80% today alone. #Bitcoin https://t.co/e14uXGVnBN",https://twitter.com/RicoReport/status/1634300717522472964,0,0,1,0,False,2023-03-10,-0.5
1634328609983807489,"HOW did Silicon Valley Bank $SIVB collapse overnight? A bank run led to $42 BILLION in withdrawal requests yesterday in a single session, leaving the bank with a balance of - $958 million at the close. https://t.co/i5NYIvWlKk",https://twitter.com/stocktalkweekly/status/1634328609983807489,232,57,628,38,False,2023-03-10,-1.0
1634332678932647937,"Silicon Valley Bank collapsed after failing to raise capital, people waiting in line at one of their branches. https://t.co/yvcCU8L2Wb",https://twitter.com/eclipsethis2003/status/1634332678932647937,171,29,197,8,False,2023-03-10,-1.0
1634303846506721282,"🚨 Regulators Close Silicon Valley Bank In Largest Failure Since Financial Crisis

""This seems to me like a slow motion train wreck"" https://t.co/1D7oKTs5Dy",https://twitter.com/TheChiefNerd/status/1634303846506721282,229,33,485,28,False,2023-03-10,-1.0
